,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
1573,2020-05-08 11:01:56+00:00,234.56905429195317,240.99895036128558,274.12279731966487,256.4237065872087,254.0901326366652,278.85673099903494,331.4455154738056,348.3302186374592,376.3449576541726,411.286061590842
1574,2020-05-11 11:20:57+00:00,,,,265.9026873738718,271.27223965728746,292.0145924916448,347.94189465388257,365.5377140884532,391.27288171367445,436.2203634596593
1575,2020-05-15 11:08:09+00:00,,,,,224.78405789368009,232.97977972703387,,326.75128508241414,340.8517444141806,379.758127614162
1576,2020-05-16 10:35:59+00:00,,,,,232.10571422941518,236.1498297936086,,,,
1577,2020-05-16 11:21:03+00:00,214.58652312486092,229.62285309317753,263.2025598842895,240.8036819989803,237.42976435699322,254.390629856086,313.1287024904588,330.760972952042,348.84671663001,383.1820138734713
1578,2020-05-19 11:30:59+00:00,213.03881436265297,236.89291226180595,264.3617044198221,246.64655641382737,238.56895658250173,260.3972691969269,314.01624618784183,334.7923939389097,355.7956649498816,388.8734786672136
1579,2020-05-24 11:02:00+00:00,,,,,,,,,,
1580,2020-05-24 11:30:55+00:00,236.28686796578592,255.18215876577815,291.4259247235048,271.8830348173811,265.3286715355804,292.6044857038666,340.36861094529536,357.5114191019385,387.3708062032913,413.7949455214503
1581,2020-05-26 11:21:04+00:00,239.14806241678787,248.71008360323472,290.80698335312036,268.38513080268547,270.5670551151658,299.0902377699394,349.77119432460194,370.2917593762145,393.15869069492015,436.5738802610315
1582,2020-05-29 11:31:00+00:00,209.32049598060294,221.91575984703735,265.5908119106973,236.61168732604034,238.80988658933526,257.7071734872119,316.95466714228354,337.971022397794,358.1809063553846,395.2206135710853
1583,2020-05-31 11:08:13+00:00,,,,220.98238210199062,218.72364907484092,239.982611552818,248.85699463757186,324.76067348423487,329.98872778757203,327.2294847413362
1584,2020-05-31 11:21:00+00:00,205.28501697503094,220.50103772291604,259.08519614719916,235.74617115750027,232.63307558152886,253.3150311520317,310.7666891145853,329.41313330334873,348.6224717898756,384.09619386404654
1585,2020-06-03 11:30:56+00:00,201.6785199097841,218.66574765959894,254.57734710490948,229.78166731521435,227.4142621548443,247.58547313867237,302.1025986804516,320.819574024447,339.4110912810739,371.4381827618889
1586,2020-06-05 11:21:04+00:00,215.95375943029268,228.48759332768043,265.3698576872606,242.04136741418847,238.48204583471625,257.7354234669723,313.8568597250443,333.8175143452105,353.7204522261708,387.2177749660433
1587,2020-06-08 10:40:47+00:00,232.73549169573673,245.91128055687432,286.6637633072214,265.40477285957985,265.16733937829844,277.73534671035173,342.3930303018628,364.45845801636307,390.6846590097561,435.11963795189644
1588,2020-06-08 11:31:00+00:00,224.28887097170715,241.17882741678756,276.20192350078884,247.46917016887983,252.1681549536781,278.5344372427894,335.95456933979835,350.2010492863218,357.5916178847706,414.33583988739343
1589,2020-06-09 11:02:08+00:00,,,,,,,,,,
1590,2020-06-10 11:21:00+00:00,244.37120245802555,266.43445806643973,303.8000922507216,284.0177263875218,283.1120420041128,306.46620631652155,350.5129632317561,378.3427765539865,402.7932352306415,443.4584483103543
1591,2020-06-13 11:30:56+00:00,221.82932584770603,238.52557813421527,275.19958770674555,252.56747700755932,249.517626036168,270.4848225050651,324.9327470639118,347.0901509244976,365.4116265192077,401.21991020944176
1592,2020-06-15 11:21:04+00:00,215.27302047128674,227.7370901598311,267.4199791314546,243.87761014095696,238.03339573331914,258.3493519992164,313.41578988243225,335.6313454281675,354.9713265823364,390.5453404065145
1593,2020-06-17 10:34:05+00:00,,,,,,,,,,437.8075238147686
1594,2020-06-18 11:31:00+00:00,203.48704332105842,215.26692554638856,253.3021898315178,230.7139381920429,218.23717904677878,243.04010148864683,309.6456233375621,310.4732539501044,332.3747112410812,366.7112211919333
1595,2020-06-20 11:21:01+00:00,230.63799906352367,239.35786429779012,274.04331811250967,252.28460165481027,247.1681383511507,271.4739010193725,326.7971578223651,344.63355737542247,361.72685611134193,400.9374778249844
