,dates,MIRA_1,MIRA_2,MIRA_3,MIRA_4,MIRA_5,MIRA_6,MIRA_7,MIRA_8,MIRA_9,MIRA_10
1027,2020-08-25 11:40:14+00:00,179.4192796522643,163.68110650726703,135.8525866024984,203.22145418176964,186.37672932340647,263.08607862985684,146.65040244709832,201.48121655569855,266.8445956415177,303.35920458552766
1028,2020-08-27 11:30:20+00:00,161.41445669048358,150.75632890394144,109.69801270367984,178.7638124391556,175.14547168266213,244.0726428027458,136.2876081924399,193.49397816597195,241.66517350404388,288.9907104587385
1029,2020-08-30 11:40:15+00:00,147.24360483804327,138.8850168217284,103.99579673070116,164.0768164253493,162.7312319856173,241.32192000067045,129.76501349306918,189.14219070588422,231.3632367987938,280.5280573475957
1030,2020-09-01 11:30:17+00:00,171.56940799026,164.61294245136378,139.90851267304163,183.45047694550857,181.98467492849278,255.8415268636536,147.29895736652105,204.43365687895738,253.4116103313483,294.8823154335645
1031,2020-09-02 11:20:27+00:00,182.71881449709318,163.83861892231295,133.6811444832882,191.58950175594734,189.78792199495808,259.94030913804966,141.8805913383076,205.8910777350102,259.67171647640646,300.0857741719195
1032,2020-09-03 10:40:48+00:00,194.27478119009393,165.1469782052062,140.98524575023148,207.43908532839947,185.2402056218723,286.9463198470698,151.82152004365918,218.27969500687888,267.57090485439164,319.14634891539725
1033,2020-09-06 11:30:19+00:00,179.13575579464046,172.35207059176685,138.88644568494007,193.7253064812375,185.85345984117865,266.8413747629505,143.91849810944404,214.5546644774842,262.27727833703926,300.59579649663294
1034,2020-09-09 11:40:14+00:00,178.86816343094767,170.23211209050083,148.35643603561823,201.6518662475125,206.01341191792835,272.7728721480768,146.60159776515968,215.6821593522234,271.37779218459787,323.72573583414726
1035,2020-09-14 11:40:12+00:00,147.5843880452426,143.11317083481026,113.3842402906219,160.9491686154969,162.18365285522572,238.77386996373843,121.41274045312211,183.03085799679153,221.76104415302825,282.7174532973817
1036,2020-09-24 11:40:13+00:00,,,,,181.82957882476637,241.16592395468663,137.30560849246507,186.8898537397322,240.2838011894972,300.5327906999944
1037,2020-09-27 11:14:25+00:00,138.51016367991653,139.8413874519817,102.45411329373938,160.03055664290792,166.9499405117043,229.8412036334123,110.7276123661048,176.6244815483945,221.61917276890043,274.366357107578
1038,2020-09-29 11:40:16+00:00,147.43093426775584,147.219731018059,110.6816816117051,168.7958730565371,175.53363835226267,248.25359008140643,122.9779063981257,191.99383326205503,230.95096684858783,288.7942351179836
1039,2020-10-01 11:30:18+00:00,149.69579926787355,154.68449012481608,,171.2235812872933,173.54767597677,242.34207385912762,123.44983968375553,,,
1040,2020-10-04 11:40:14+00:00,143.84939242523978,172.5697337601288,122.79822193532786,163.41912381796902,201.0940686772172,246.39944255562685,,191.9778857714906,,
1041,2020-10-09 11:40:16+00:00,156.63297388847144,162.70797600626634,112.27685885290407,182.9724745187402,173.8843812826006,262.3148114906766,132.06699772889363,208.24227865358176,245.9673617283563,299.01291375696405
1042,2020-10-11 11:30:18+00:00,138.90014069111393,140.37244149676312,100.01581512885903,171.0918099660944,165.39711233982416,254.02856384966867,123.6143493498239,186.48491511446514,223.4084025220034,280.1472536493701
1043,2020-10-14 11:40:14+00:00,118.73367857103916,127.5807078100375,100.50955361127176,154.8915139121795,154.2572356940594,242.66365617874914,,173.49654876193506,216.7299130001689,267.53510589777375
