,dates,BARR_1,BARR_2,BARR_3,BARR_4,BARR_5,BARR_6,BARR_7,BARR_8,BARR_9,BARR_10
22,1987-01-20 10:33:58+00:00,295.02291635786435,294.80969509253543,299.87677934872625,231.56119771339746,230.14795009883858,216.8315319949173,227.68043591826944,201.5181759112594,201.0598087704641,198.0018663659415
23,1987-02-21 10:34:59+00:00,293.47824619285984,268.6994415165252,291.63034131213493,230.58259130563886,247.77276005618054,221.3287110559449,188.50829168036182,193.30407998302002,223.4750400523273,192.8813151419635
24,1987-04-26 10:37:24+00:00,270.2975840918697,255.24124826219287,264.2276955072681,237.5075972199702,239.51460545090185,198.4297117945889,180.95505786514434,187.8742243331733,212.31828362942636,191.38226134316454
25,1987-05-12 10:37:51+00:00,267.48882442900947,270.2095962590886,264.50414809314566,256.1632007848524,236.12484541280944,194.74916638015753,187.22957657035232,185.67313162434937,203.9740711126974,194.07063304130685
26,1987-05-28 10:38:16+00:00,283.0346698639713,316.399671142956,303.3248266734412,,235.17552161920025,250.24242038184644,222.81425043309235,228.76352780330132,220.93654128128745,220.29650241926657
27,1987-07-15 10:39:17+00:00,283.1799975041681,302.9301088928292,283.87043106324813,289.56432575848294,284.00599803153693,231.78636602640054,226.63065725982045,234.2653363320891,225.13433333636902,210.22225175710878
28,1987-07-31 10:39:43+00:00,272.9600308049242,287.8045009883343,286.3670068818543,283.38788904084765,282.257158632057,213.1296335177406,223.15457959614474,232.3408308175542,241.34568425168956,193.9735942853359
29,1987-09-17 10:41:00+00:00,,,,,,,,,,
30,1987-11-04 10:41:57+00:00,257.39359481111137,259.1272404903136,271.6346615806161,279.23333321904124,265.495477617799,196.10531158067258,,,,
31,1987-11-27 10:48:35+00:00,284.0051312365701,255.03037502344415,251.9671132311828,233.65310614577183,226.57228424903104,233.7181627263281,208.51942365116219,215.04559677735102,185.84910418395918,156.70483104996225
