,dates,TRAT_1,TRAT_2,TRAT_3,TRAT_4,TRAT_5,TRAT_6,TRAT_7,TRAT_8,TRAT_9,TRAT_10
23,1986-12-03 10:32:57+00:00,161.033292504923,231.066522828207,214.261312883848,226.21808632985,245.134121775004,,,173.489968176684,122.893214367629,72.0834185558717
24,1987-01-20 10:34:22+00:00,174.457380300721,238.48032779381,216.795974882643,226.044656591824,250.124738025812,,,172.528534539871,115.761240264625,65.5462576004282
25,1987-04-10 10:37:18+00:00,,,,,,,,159.606259495929,112.669297611426,66.9707993620322
26,1987-04-26 10:37:48+00:00,,,,,,,,,,
27,1987-05-12 10:38:15+00:00,,,,,,,,159.748450668886,117.847090810804,
28,1987-05-28 10:38:40+00:00,174.638904382649,244.244192103742,230.315157151555,237.755029427422,260.809212705559,,,,,73.8288937378042
29,1987-06-13 10:39:02+00:00,,,,,,,,,,
30,1987-06-29 10:39:23+00:00,,253.090031770506,230.432024893382,229.393362793163,253.022184415906,,,167.554909111467,,
31,1987-07-31 10:40:07+00:00,189.038796222247,249.649268958665,235.139557315636,244.536858715598,258.873924356534,,,187.579108548461,127.085922626263,87.238907206019
32,1987-08-16 10:40:35+00:00,,,,,,,,,,
33,1987-09-17 10:41:24+00:00,,,,,,,,,,
34,1987-10-03 10:41:45+00:00,157.334187594404,229.810699040241,,,,,,,,
35,1987-12-22 10:43:09+00:00,180.257959092168,248.788812837287,220.640122573922,234.33888470965,252.158978776052,,,175.446379870327,112.531589803089,
36,1988-02-24 10:44:15+00:00,159.824222803625,236.328042092224,221.213906429634,242.219582655531,244.633258390177,,,167.468858894782,112.334175932186,50.4616826397762
37,1988-03-11 10:44:24+00:00,181.599671474811,247.967948557945,240.340985067133,247.147100990006,261.837579921025,,,,132.260113315471,77.6789391703322
38,1988-04-28 10:44:41+00:00,,,,,,,,,,
39,1988-05-14 10:44:53+00:00,,,227.34498285356,235.774666765512,252.551476768729,,,172.29425881945,115.223053164665,74.0707458887766
40,1988-08-02 10:45:15+00:00,171.828669213156,251.056657125701,228.652822732237,236.889716413204,245.41265543904,,,186.705367716172,119.8445412934,66.7388473794709
41,1988-08-18 10:45:15+00:00,177.179096172527,257.474996155122,235.65566449906,242.504822243796,251.04870604837,,,,120.997371254076,
42,1988-09-03 10:45:18+00:00,179.473179523498,255.403459801672,246.313267376394,244.889428762161,256.84076082763,,,,114.784041509303,64.1084281554781
43,1988-09-19 10:45:13+00:00,,,,,,,,,,
44,1988-10-05 10:45:09+00:00,,,,,,,,,,
45,1988-10-21 10:45:02+00:00,166.398595049086,246.444558029918,233.684914265687,237.281082191785,246.087642319719,,,182.564590568437,108.685234949187,56.0238617027604
46,1988-11-22 10:45:07+00:00,168.439489032273,239.414857239762,220.293491339176,223.919818931986,245.293316519079,,,172.669935789253,102.308019679999,48.4275998793323
47,1988-12-08 10:44:57+00:00,181.748004787298,259.944752179649,233.97434195517,248.127747703388,257.624345782664,,,,127.720784909154,63.481803835887
48,1989-05-01 10:43:18+00:00,191.044992971243,,,,255.349633363893,,,182.890468293434,,
49,1989-05-17 10:42:58+00:00,,,,,,,,,,
50,1989-08-05 10:41:27+00:00,,,,,,,,,,
51,1989-08-21 10:41:05+00:00,,270.170670047951,249.596292970584,246.744995478622,254.749893253193,,,,123.164116100464,67.5737422490576
52,1989-09-06 10:40:44+00:00,182.606016838309,263.422203714259,242.46270446363,241.985863336732,258.163236253448,,,,128.746060388865,72.5012566831481
53,1989-09-22 10:40:13+00:00,183.079637733692,260.570855371068,238.056358556083,239.57841316088,255.826612572685,,,,119.502759315383,64.9563606270156
54,1989-10-08 10:40:02+00:00,,,,,,,,,,
55,1989-11-09 10:38:59+00:00,180.148489050361,249.399248159592,234.500533498392,230.580723236145,250.443776563252,,,176.313481189835,105.385959871111,54.0289064627726
