,dates,MEIA_1,MEIA_2,MEIA_3,MEIA_4,MEIA_5,MEIA_6,MEIA_7,MEIA_8,MEIA_9,MEIA_10
82,1987-10-12 10:36:08+00:00,191.5193905,153.2542848,137.4278121,140.2968716,110.7112887,95.75924163,72.5271498,68.19112298,,
83,1987-11-04 10:42:45+00:00,144.5530597,114.0918953,102.2908176,92.13796118,72.41906099,46.69523256,33.74047947,,46.28451062,
84,1987-12-22 10:43:33+00:00,171.2540629,166.5023289,166.8435202,174.3319635,98.44399067,66.35231843,84.82006545,102.7425108,108.0247795,
85,1988-02-08 10:44:25+00:00,177.5375427,155.3344987,136.610343,139.6365393,110.1953542,68.02242821,,81.76411398,,
86,1988-02-17 10:38:22+00:00,161.6932592,126.4042229,118.2161191,113.3869788,88.18415259,59.55973565,,65.59995934,,
87,1988-03-11 10:44:48+00:00,161.363761,143.1242431,128.9280706,118.3695227,88.72126609,63.16924938,,79.19942232,,
88,1988-03-27 10:44:56+00:00,153.0170915,148.1685141,129.4356688,128.0078251,100.8932374,72.19883194,,67.31310257,,
89,1988-04-28 10:45:05+00:00,162.232038,149.633266,130.842749,127.1561988,103.371995,70.55451998,60.80452905,59.44037152,,
90,1988-05-23 10:39:10+00:00,163.482593,145.0714264,138.8476088,138.48552,106.4915164,84.28158644,,80.81650828,91.73956077,
91,1988-05-30 10:45:23+00:00,177.6641567,159.6741566,142.4435792,132.5192916,97.05911301,70.87468534,64.82064918,63.67385881,,
92,1988-06-15 10:45:29+00:00,190.1414609,160.7934876,,,,,63.45523263,71.49914753,,
93,1988-07-26 10:39:28+00:00,152.5906138,133.0468882,123.7882189,112.2071228,86.20614306,65.1213301,,50.86498955,,
94,1988-08-11 10:39:26+00:00,189.9874003,161.5838215,141.5323932,133.3163024,107.8870527,77.60318685,,71.08555539,81.4825845,
95,1988-08-18 10:45:39+00:00,186.5967128,168.8346254,146.2410784,147.4940337,116.5399249,88.75118707,80.71349422,73.50954093,,
96,1988-09-03 10:45:42+00:00,190.1392501,167.9145255,145.4534063,137.6557179,104.4682888,79.56055989,74.90179895,69.25179573,,
97,1988-09-12 10:39:30+00:00,183.180657,155.0811434,133.2332747,122.1179658,93.29405368,74.74421373,61.00956988,61.37000291,,
