,dates,ATMC_1,ATMC_2,ATMC_3,ATMC_4,ATMC_5,ATMC_6,ATMC_7,ATMC_8,ATMC_9,ATMC_10
15,1985-11-14 10:43:03+00:00,134.860503693064,152.088894761498,,143.64073291887,99.0583077272624,,,150.548561960214,139.911333249481,144.240880183448
16,1986-02-02 10:41:30+00:00,104.294943458257,130.599352388614,,129.455416418862,79.0225264755371,112.010914855982,108.954200489663,135.125719666006,116.717029469938,112.953772441343
17,1986-02-18 10:41:07+00:00,100.678094768924,109.159167721933,148.60373035225,106.619750108268,57.8773956608782,86.3455959951184,,,,
18,1986-04-07 10:40:07+00:00,126.109745049409,140.643506958054,,136.797540341394,84.440707566017,113.057962898573,98.4445065759159,121.788174787532,111.233925298098,119.563957174419
19,1986-05-25 10:38:54+00:00,,,,,,119.757776795595,117.1664576683,146.309664498425,136.609654566173,143.092916030501
20,1986-10-16 10:34:04+00:00,121.042185256072,139.915661087473,,128.669702893721,75.6833679402802,,,,,
21,1986-11-01 10:33:30+00:00,123.730080851737,150.475217207642,,142.21574410372,98.4991893607457,118.225653232153,116.093998154567,143.57352619079,133.486627003342,126.987177671191
22,1986-11-17 10:32:53+00:00,133.90338071185,139.255156829144,,131.078493922983,91.4330591624859,111.453163405881,112.218876655325,134.337268487586,126.775043620755,122.273095383459
23,1986-12-03 10:32:57+00:00,133.400829062701,150.110310956664,,,92.3339229563088,117.710922789688,113.495534312418,139.576467950505,134.324881320719,130.427655609409
24,1987-01-20 10:34:22+00:00,142.139031158191,143.132959097738,,140.104767311097,91.6803128030767,121.346874419758,114.904168138188,137.846035152057,128.875889518383,122.485426806094
25,1987-04-10 10:37:18+00:00,116.793961112561,,,134.569377117603,87.773364459893,109.369255767785,107.843706901894,,,128.980304404144
26,1987-04-26 10:37:48+00:00,121.075491681389,127.92124606203,,121.33062470481,81.7344924677648,,,,,
27,1987-05-12 10:38:15+00:00,,,,,,,,,119.893409273895,124.988750935643
28,1987-05-28 10:38:40+00:00,139.435679586491,,,,96.2875736602412,121.9253663067,112.500684043253,144.799929122443,134.509271214944,139.263634656572
29,1987-06-13 10:39:02+00:00,135.246235696959,155.560054042178,,141.132399845873,98.5031740590602,120.289491831875,118.207471972146,146.082899466779,132.502909776008,141.041599834297
30,1987-06-29 10:39:23+00:00,,,,,,,,,126.108020146475,137.370390959311
31,1987-07-31 10:40:07+00:00,138.909956522739,160.697193244171,,,,,124.786472941374,154.141228304001,134.85894194423,151.663717428208
32,1987-08-16 10:40:35+00:00,,,,,,,,132.63616402567,123.377285865303,128.526797895483
33,1987-09-17 10:41:24+00:00,,,,,,,,,118.137389177926,133.038556347266
34,1987-10-03 10:41:45+00:00,,,,,,,,,,
35,1987-12-22 10:43:09+00:00,,,,,,,,,,
36,1988-02-24 10:44:15+00:00,122.676370874989,133.848010578617,,,,,,,,
37,1988-03-11 10:44:24+00:00,138.887812494048,142.036169956869,,128.650205299217,94.6485755977564,116.971975530379,114.59651144887,147.712524872815,131.420606536568,142.39482732414
38,1988-04-28 10:44:41+00:00,,,,,,,,,129.584504733184,131.969431044204
39,1988-05-14 10:44:53+00:00,133.452523577088,152.603546439529,,137.661009871511,96.2504678876984,,117.64525984598,151.973365775386,135.155996556924,139.278399989004
40,1988-08-02 10:45:15+00:00,136.194705690027,153.980018477962,,139.729053914494,103.721670673595,,122.483840970406,156.258271552825,139.004603480536,139.511991355769
41,1988-08-18 10:45:15+00:00,,,,,,,,157.924695800612,145.590951654479,145.822456988798
42,1988-09-03 10:45:18+00:00,126.07343278443,151.971970647035,,142.638478381227,104.183309301741,,,155.664911176743,141.807390071379,148.512263096284
43,1988-09-19 10:45:13+00:00,,,,,,,,154.886566110431,151.595984092649,148.513019882915
44,1988-10-05 10:45:09+00:00,,,,,,,,,138.093549795088,141.792774082912
45,1988-10-21 10:45:02+00:00,124.234256025431,145.592976291002,,119.501998551212,86.6029554086487,112.035612934183,115.993340894771,138.820601203063,127.658109267218,130.761197263222
46,1988-11-22 10:45:07+00:00,123.686621505612,129.380554184725,152.41685314627,107.845648533997,62.5398007096747,90.6359708130802,92.1967820501707,128.032613123041,103.499163224642,97.1442036679386
